title,location,city,start_date,start_time,event_link,ticket_link,scraped_at
MORTA SMIT. Didysis burleskos šou,COMPENSA koncertų salė,Vilnius,2026-11-12,20:00,https://www.bilietai.lt/eng/tickets/koncertai/morta-smit-didysis-burleskos-sou-491229/,https://store.bilietai.lt/public/?concert=491229&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
Nino Katamadze and Band,LVSO koncertų salė,Vilnius,2026-11-18,19:00,https://www.bilietai.lt/eng/tickets/koncertai/nino-katamadze-and-band-492717/,https://store.bilietai.lt/public/?concert=492717&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
THOMAS ANDERS from Modern Talking,Twinsbet Arena,Vilnius,2026-11-21,19:00,https://www.bilietai.lt/eng/tickets/koncertai/thomas-anders-from-modern-talking-493482/,https://store.bilietai.lt/public/?concert=493482&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
GRAND DISCO SHOW 2026: Haddaway | Dr. Alban | Classic | Masters,Twinsbet Arena,Vilnius,2026-11-27,19:00,https://www.bilietai.lt/eng/tickets/koncertai/grand-disco-show-2026-haddaway--dr-alban--classic--masters-487495/,https://store.bilietai.lt/public/?concert=487495&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
Future cello & Moosu X: ELEKTRONINĖ SIMFONIJA,COMPENSA koncertų salė,Vilnius,2026-11-28,19:00,https://www.bilietai.lt/eng/tickets/koncertai/future-cello--moosu-x-elektronine-simfonija-perkeltas-is-20251213-480244/,https://store.bilietai.lt/public/?concert=480244&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
FUME | MATTER LIVE: For Symphonic Orchestra & Electronics,LVSO koncertų salė,Vilnius,2026-11-28,19:30,https://www.bilietai.lt/eng/tickets/koncertai/fume--matter-live-for-symphonic-orchestra--electronics-493115/,https://store.bilietai.lt/public/?concert=493115&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
CHRIS NORMAN & BAND koncertas,Twinsbet Arena,Vilnius,2026-12-04,20:00,https://www.bilietai.lt/eng/tickets/koncertai/chris-norman--band-koncertas-493866/,https://store.bilietai.lt/public/?concert=493866&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
M1 muzikos apdovanojimai 2026,Kauno Žalgirio arena,Kaunas,2026-12-09,19:00,https://www.bilietai.lt/eng/tickets/koncertai/m1-muzikos-apdovanojimai-2026-488707/,https://store.bilietai.lt/public/?concert=488707&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:08Z
SEL 50 | Kaunas 2026,Kauno Žalgirio arena,Kaunas,2026-12-12,20:00,https://www.bilietai.lt/eng/tickets/koncertai/sel-50--kaunas-2026-480549/,https://store.bilietai.lt/public/?concert=480549&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:08Z
Šou ''Ledo melodijos'',Twinsbet Arena,Vilnius,2026-12-15,19:00,https://www.bilietai.lt/eng/tickets/koncertai/sou-ledo-melodijos-494072/,https://store.bilietai.lt/public/?concert=494072&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:08Z
Lilas ir Innomine | Dariaus ir Girėno stadionas,Dariaus ir Girėno stadionas,Kaunas,2027-05-22,19:00,https://www.bilietai.lt/eng/tickets/koncertai/lilas-ir-innomine--dariaus-ir-gireno-stadionas-488944/,https://store.bilietai.lt/public/?concert=488944&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:08Z
Comic Con Baltics 2026,Lietuvos parodų ir kongresų centras LITEXPO,Vilnius,2026-05-22,10:00,https://www.bilietai.lt/eng/tickets/festivaliai/comic-con-baltics-2026-98217/,,2026-02-16T05:41:08Z
Olivier Dubois (Prancūzija) - TRAGÉDIE,Lietuvos nacionalinis dramos teatras,Vilnius,2026-02-26,18:30,https://www.bilietai.lt/eng/tickets/teatras/olivier-dubois-prancuzija-tragedie-487423/,https://store.bilietai.lt/public/?concert=487423&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:20Z
Olivier Dubois (Prancūzija) - TRAGÉDIE,Lietuvos nacionalinis dramos teatras,Vilnius,2026-02-27,18:30,https://www.bilietai.lt/eng/tickets/teatras/olivier-dubois-prancuzija-tragedie-487425/,https://store.bilietai.lt/public/?concert=487425&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:20Z
Tuvumi / menininkų duetas IevaKrish (Latvija) - OBLICUS,Marijampolės dramos teatras,Marijampolė,2026-03-24,18:00,https://www.bilietai.lt/eng/tickets/teatras/tuvumi-menininku-duetas-ievakrish-latvija-oblicus-494007/,https://store.bilietai.lt/public/?concert=494007&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:20Z
